Glass ,A1,A2,A3,B1,B2,B3
S-FPL51,1.17010505,0.047571078,0.763832445,0.006162039,0.026337288,141.882642
S-FPL53,0.983532327,0.069568814,1.11409238,0.00492235,0.019358109,264.275294
S-FPL55,0.839067682,0.214083503,1.47914677,0.007952866,-0.002325817,340.0437
S-FPM 2,0.761242785,0.747033375,0.938928947,0.003211741,0.014023442,139.52353
S-FPM 3,0.809407286,0.527007033,0.909127704,0.003760724,0.01356549,142.503612
S-FPM 4,0.685585084,0.623380215,0.914178386,0.00288172,0.012470171,153.5772
S-FSL 5,1.17447043,0.014005615,1.19272435,0.008418552,-0.058179077,129.599726
S-BSL 7,1.1515019,0.118583612,1.26301359,0.010598413,-0.011822519,129.617662
S-BSM 2,0.867168676,0.672848343,1.18456107,0.00369311,0.01816528,132.376147
S-BSM10,0.945443081,0.643237376,1.17752968,0.01572638,0.001619241,121.361748
S-BSM14,1.2828627,0.247647429,1.10383999,0.01229024,-0.006131424,106.883378
S-BSM15,0.953128328,0.637613977,1.65245647,0.00387639,0.018509463,159.442367
S-BSM16,1.14490383,0.439563911,1.27688079,0.013703492,-0.001865142,119.535585
S-BSM18,0.927886025,0.708858526,1.18610897,0.004175492,0.018469184,122.210416
S-BSM25,1.34814257,0.347530319,1.38798368,0.006953644,0.027786348,142.138122
S-BSM28,1.43822841,0.128100017,1.3435553,0.008597798,0.040861785,143.70989
S-BSM71,1.50847885,0.158099826,1.36815368,0.008127691,0.03542009,136.110038
S-BSM81,0.996356844,0.651392837,1.22432622,0.014482159,0.001548264,89.9818604
S-NSL 3,0.882514764,0.389271907,1.10693448,0.004645046,0.02005514,136.234339
S-NSL36,1.09666153,0.168990073,1.20580827,0.006674911,0.033609545,141.668738
S-BAL 2,1.30923813,0.114137353,1.17882259,0.00838874,0.039943649,140.257892
S-BAL 3,1.2936689,0.132440252,1.10197293,0.00800368,0.03547112,134.517431
S-BAL12,0.714605258,0.621993289,1.22537681,0.003017639,0.016650545,143.506314
S-BAL14,1.27553696,0.146083393,1.16754699,0.007496924,0.031042153,128.947092
S-BAL35,0.941357273,0.546174895,1.16168917,0.0140334,0.000906636,114.163758
S-BAL41,1.243442,0.166301104,1.10586114,0.011639671,-0.008904649,114.11122
S-BAL42,1.39570615,0.071850507,1.27129267,0.011221884,-0.025211742,134.49786
S-BAM 4,1.41059317,0.111201306,1.34148939,0.009633122,0.049877821,152.237696
S-BAM12,1.50161605,0.126987445,1.43544052,0.009407618,0.04726022,141.666499
S-BAH10,1.59034337,0.138464579,1.21988043,0.009327343,0.042749865,119.251777
S-BAH11,1.5713886,0.147869313,1.28092846,0.009108079,0.040240168,130.399367
S-BAH27,1.68939052,0.133081013,1.41165515,0.010359819,0.053398224,126.515503
S-BAH28,1.69493484,0.192890298,1.56385948,0.010272319,0.052118764,137.818035
S-PHM52,1.0996655,0.478125422,1.13214074,0.013271856,-0.00060165,130.595472
S-PHM53,1.09775423,0.434816432,1.13894976,0.01233694,-0.000372523,124.276984
S-TIL 1,1.25088944,0.099797333,1.20583504,0.008839213,0.048268505,137.414953
S-TIL 2,1.23401499,0.095979683,1.20503991,0.008695078,0.046561143,137.953301
S-TIL 6,1.17701777,0.12795803,1.34740124,0.007710877,0.041132533,154.531692
S-TIL25,1.32122534,0.123824976,1.43685254,0.009520914,0.051606267,149.064883
S-TIL26,1.31066488,0.094190309,1.23292644,0.009688978,0.052776311,133.296422
S-TIL27,1.31433154,0.112300168,1.413901,0.009504045,0.052411277,148.429972
S-TIM 2,1.42193846,0.133827968,1.45060574,0.010729151,0.057258755,145.381805
S-TIM 5,1.38531342,0.122372945,1.40508326,0.010407457,0.055744009,144.878733
S-TIM 8,1.37262713,0.112636276,1.39786421,0.010322007,0.055019504,147.735609
S-TIM22,1.44222294,0.194432265,1.74092482,0.01042494,0.055023526,169.710769
S-TIM25,1.50659233,0.204786135,1.92036668,0.010950156,0.057498029,178.128535
S-TIM27,1.4168047,0.196785057,1.68001322,0.010073216,0.053761691,164.672436
S-TIM28,1.5427081,0.217113891,1.81904459,0.011392501,0.057922457,167.697189
S-TIM35,1.55849775,0.230767007,1.84436099,0.011536724,0.058609595,162.981888
S-TIH 1,1.60326759,0.242980935,1.81313592,0.011801914,0.059136366,161.218747
S-TIH 3,1.64797648,0.267261917,2.19772845,0.012191769,0.059789304,192.15834
S-TIH 4,1.66755531,0.294411865,2.49422119,0.012205214,0.059777533,214.869618
S-TIH 6,1.77227611,0.34569125,2.40788501,0.013118263,0.061447962,200.753254
S-TIH10,1.61549392,0.262433239,2.09426189,0.01198309,0.059651024,181.657554
S-TIH11,1.72677471,0.324568628,2.65816809,0.012936996,0.061825525,221.904637
S-TIH13,1.62224674,0.293844589,1.99225164,0.011836839,0.059020803,171.959976
S-TIH14,1.68915108,0.290462024,2.37971516,0.012820251,0.061809084,201.094352
S-TIH18,1.59921608,0.259532164,2.12454543,0.01164693,0.058482488,186.927779
S-TIH23,1.73986485,0.313894918,2.31093206,0.01294413,0.061211687,197.420482
S-TIH53,1.87904886,0.369719775,2.33730863,0.014412177,0.063881799,182.66818
S-TIH53W,1.87904886,0.369719775,2.33730863,0.014412177,0.063881799,182.66818
S-TIH57,2.21103256,0.450346986,2.47746663,0.014233027,0.063857339,161.9376
S-LAL 7,0.916121247,0.765948319,1.27745023,0.003958897,0.016754743,110.762706
S-LAL 7Q,0.905277143,0.777955684,1.18137286,0.015560651,0.002847186,88.07379
S-LAL 8,1.30663291,0.571377253,1.24303605,0.006118624,0.021272147,90.6285686
S-LAL 9,1.16195687,0.644860099,1.25062221,0.015965951,0.000505502,93.8284169
S-LAL10,1.52812575,0.367965267,1.11751784,0.007768176,0.027202655,88.86974
S-LAL12,0.992053895,0.771377731,1.18296264,0.016709506,0.002367502,105.90108
S-LAL13,0.980071267,0.832904776,1.28111995,0.003891237,0.018916459,98.9052676
S-LAL14,1.2372097,0.589722623,1.3192188,0.015355132,-0.000307896,93.7202947
S-LAL18,1.50276318,0.430224497,1.3472606,0.014546236,-0.003327842,93.3508342
S-LAL19,0.973997577,0.958186322,1.20163359,0.003793327,0.017757458,83.79896
S-LAL20,1.06788467,0.75873535,1.02804682,0.005188961,0.020400436,120.82632
S-LAL21,0.935250779,0.905988706,1.43351212,0.018083605,0.004084526,138.68341
S-LAL54,1.41910189,0.258416881,1.07385537,0.007266474,0.02638425,102.555463
S-LAL54Q,0.920085087,0.758646115,1.07073096,0.016082967,0.002920593,85.12112
S-LAL58,1.06368789,0.744939067,1.59178942,0.018519964,0.001162959,156.636025
S-LAL59,1.13962742,0.805227838,1.29488061,0.004932949,0.020247996,93.4746507
S-LAL61,1.11073292,0.859347773,1.26707433,0.004641812,0.019298926,87.3917698
S-LAM 2,1.7713,0.19581423,1.19487834,0.009766524,0.041271863,110.458122
S-LAM 3,1.64258713,0.23963461,1.22483026,0.00868246,0.035122624,116.604369
S-LAM 7,1.71014712,0.256943292,1.63986271,0.010516108,0.050280964,146.181217
S-LAM54,1.84213306,0.175468631,1.25750878,0.009439932,0.039528112,86.5463013
S-LAM55,1.85412979,0.165450323,1.27255422,0.010843815,0.051405098,109.986837
S-LAM60,1.60673056,0.36641564,1.31761804,0.007750461,0.028996761,93.0720709
S-LAM61,1.7388333,0.15093743,1.12118445,0.009802441,0.043317969,101.214625
S-LAM66,1.92094221,0.219901208,1.72705231,0.011507524,0.054799354,120.133674
S-LAM73,1.86353123,0.255215617,1.23399133,0.010762067,0.048724868,117.12511
S-LAH51,1.82586991,0.283023349,1.35964319,0.009352972,0.037380306,100.655798
S-LAH52,1.85390925,0.297925555,1.39382086,0.009553207,0.039381685,102.706848
S-LAH52Q,1.91082318,0.239854589,1.16159733,0.010356535,0.041380508,96.60373
S-LAH53,1.91811619,0.253724399,1.39473885,0.010214768,0.043317601,101.938021
