Glass,B1,B2,B3,C1,C2,C3
F2,1.34533359,0.209073176,0.937357162,0.009977439,0.047045077,111.886764
F2HT,1.34533359,0.209073176,0.937357162,0.009977439,0.047045077,111.886764
F5,1.3104463,0.19603426,0.96612977,0.00958633,0.045762763,115.011883
FK5HTi,0.90936218,0.279077054,0.891813298,0.005201425,0.015893845,95.9109448
K10,1.15687082,0.064262544,0.872376139,0.008094243,0.038605128,104.74773
K7,1.1273555,0.124412303,0.827100531,0.007203417,0.026983592,100.384588
LAFN7,1.66842615,0.298512803,1.0774376,0.010316,0.046921635,82.5078509
LASF35,2.45505861,0.453006077,2.3851308,0.01356704,0.054580302,167.904715
LF5,1.28035628,0.163505973,0.893930112,0.009298544,0.044913577,110.493685
LF5HTi,1.28552924,0.158357622,0.892175122,0.009398863,0.045256666,110.544829
LLF1,1.21640125,0.13366454,0.883399468,0.008578072,0.0420143,107.59306
LLF1HTi,1.22510445,0.125155671,0.892236751,0.008704321,0.042732524,108.049968
N-BAF10,1.5851495,0.143559385,1.08521269,0.009266813,0.042448981,105.613573
N-BAF4,1.42056328,0.102721269,1.14380976,0.009420154,0.053108729,110.278856
N-BAF51,1.51503623,0.153621958,1.15427909,0.009427347,0.04308265,124.889868
N-BAF52,1.43903433,0.096704605,1.09875818,0.009078001,0.050821208,105.691856
N-BAK1,1.12365662,0.309276848,0.881511957,0.006447428,0.02222844,107.297751
N-BAK2,1.01662154,0.319903051,0.937232995,0.005923838,0.020382842,113.118417
N-BAK4,1.28834642,0.132817724,0.945395373,0.007799806,0.031563118,105.965875
N-BAK4HT,1.28834642,0.132817724,0.945395373,0.007799806,0.031563118,105.965875
N-BALF4,1.31004128,0.142038259,0.964929351,0.007965965,0.033067207,109.19732
N-BALF5,1.28385965,0.071930094,1.05048927,0.00825816,0.044192003,107.097324
N-BASF2,1.53652081,0.156971102,1.30196815,0.010843573,0.056227876,131.3397
N-BASF64,1.65554268,0.17131977,1.33664448,0.010448564,0.049939476,118.961472
N-BK10,0.888308131,0.328964475,0.984610769,0.005169008,0.016119005,99.7575331
N-BK7,1.03961212,0.231792344,1.01046945,0.006000699,0.020017914,103.560653
N-BK7HT,1.03961212,0.231792344,1.01046945,0.006000699,0.020017914,103.560653
N-BK7HTi,1.03961212,0.231792344,1.01046945,0.006000699,0.020017914,103.560653
N-F2,1.39757037,0.159201403,1.2686543,0.009959061,0.054693175,119.248346
N-FK5,0.844309338,0.344147824,0.910790213,0.00475112,0.014981485,97.8600293
N-FK51A,0.971247817,0.216901417,0.904651666,0.00472302,0.015357561,168.68133
N-FK58,0.738042712,0.363371967,0.989296264,0.003390656,0.011755119,212.842145
N-K5,1.08511833,0.199562005,0.930511663,0.006610995,0.024110866,111.982777
N-KF9,1.19286778,0.089334657,0.920819805,0.008391547,0.040401079,112.572446
N-KZFS11,1.3322245,0.28924161,1.15161734,0.008402985,0.034423972,88.4310532
N-KZFS2,1.23697554,0.153569376,0.903976272,0.007471705,0.030805356,70.1731084
N-KZFS4,1.35055424,0.197575506,1.09962992,0.008762821,0.03717672,90.3866994
N-KZFS4HT,1.35055424,0.197575506,1.09962992,0.008762821,0.03717672,90.3866994
N-KZFS5,1.47460789,0.193584488,1.26589974,0.009861438,0.044547758,106.436258
N-KZFS8,1.62693651,0.24369876,1.62007141,0.010880863,0.049420775,131.009163
N-LAF2,1.80984227,0.15729555,1.0930037,0.010171162,0.044243177,100.687748
N-LAF21,1.87134529,0.25078301,1.22048639,0.009333223,0.034563776,83.2404866
N-LAF33,1.79653417,0.311577903,1.15981863,0.009273135,0.035820118,87.3448712
N-LAF34,1.75836958,0.313537785,1.18925231,0.0087281,0.029302083,85.1780644
N-LAF35,1.51697436,0.455875464,1.07469242,0.007509432,0.026004672,80.5945159
N-LAF7,1.74028764,0.226710554,1.32525548,0.010792558,0.053862664,106.268665
N-LAK10,1.72878017,0.169257825,1.19386956,0.008860146,0.036341651,82.9009069
N-LAK12,1.17365704,0.588992398,0.978014394,0.005770318,0.020040168,95.4873482
N-LAK14,1.50781212,0.318866829,1.14287213,0.007460987,0.024202483,80.9565165
N-LAK21,1.22718116,0.420783743,1.01284843,0.006020757,0.019686289,88.4370099
N-LAK22,1.14229781,0.535138441,1.04088385,0.005857786,0.019854615,100.834017
N-LAK33B,1.42288601,0.593661336,1.1613526,0.006702835,0.021941621,80.7407701
N-LAK34,1.26661442,0.665919318,1.1249612,0.005892781,0.019750904,78.8894174
N-LAK7,1.23679889,0.445051837,1.01745888,0.006101055,0.020138833,90.638038
N-LAK8,1.33183167,0.546623206,1.19084015,0.006200239,0.021646544,82.5827736
N-LAK9,1.46231905,0.344399589,1.15508372,0.007242702,0.024335313,85.4686868
N-LASF31A,1.96485075,0.475231259,1.48360109,0.009820602,0.034471344,110.739863
N-LASF40,1.98550331,0.274057042,1.28945661,0.010958331,0.04745516,96.9085286
N-LASF41,1.86348331,0.413307255,1.35784815,0.009103682,0.033924727,93.3580595
N-LASF43,1.93502827,0.23662935,1.26291344,0.010400141,0.044750529,87.437569
N-LASF44,1.78897105,0.38675867,1.30506243,0.008725063,0.030808502,92.7743824
N-LASF45,1.87140198,0.267777879,1.73030008,0.011217192,0.050513497,147.106505
N-LASF45HT,1.87140198,0.267777879,1.73030008,0.011217192,0.050513497,147.106505
N-LASF46A,2.16701566,0.319812761,1.66004486,0.012359552,0.056061028,107.047718
N-LASF46B,2.17988922,0.306495184,1.56882437,0.012580538,0.056719137,105.316538
N-LASF9,2.00029547,0.298926886,1.80691843,0.012142602,0.053873624,156.530829
N-LASF9HT,2.00029547,0.298926886,1.80691843,0.012142602,0.053873624,156.530829
N-PK51,1.15610775,0.153229344,0.785618966,0.005855974,0.019407242,140.537046
N-PK52A,1.029607,0.1880506,0.736488165,0.005168002,0.01666588,138.964129
N-PSK3,0.88727211,0.489592425,1.04865296,0.004698241,0.016181846,104.374975
N-PSK53A,1.38121836,0.196745645,0.886089205,0.007064163,0.023325135,97.4847345
N-SF1,1.60865158,0.237725916,1.51530653,0.011965488,0.059058972,135.521676
N-SF10,1.62153902,0.256287842,1.64447552,0.012224146,0.059573678,147.468793
N-SF11,1.73759695,0.313747346,1.89878101,0.013188707,0.062306814,155.23629
N-SF14,1.69022361,0.288870052,1.7045187,0.013051211,0.061369188,149.517689
N-SF15,1.57055634,0.218987094,1.50824017,0.011650701,0.05978569,132.709339
N-SF2,1.47343127,0.163681849,1.36920899,0.01090191,0.058568369,127.404933
N-SF4,1.67780282,0.282849893,1.63539276,0.012679345,0.060203842,145.760496
N-SF5,1.52481889,0.187085527,1.42729015,0.011254756,0.058899539,129.141675
N-SF57,1.87543831,0.37375749,2.30001797,0.014174952,0.064050993,177.389795
N-SF57HT,1.87543831,0.37375749,2.30001797,0.014174952,0.064050993,177.389795
N-SF57HTultra,1.87543831,0.37375749,2.30001797,0.014174952,0.064050993,177.389795
N-SF6,1.77931763,0.338149866,2.08734474,0.013371418,0.061753362,174.01759
N-SF66,2.0245976,0.470187196,2.59970433,0.014705323,0.069299828,161.817601
N-SF6HT,1.77931763,0.338149866,2.08734474,0.013371418,0.061753362,174.01759
N-SF6HTultra,1.77931763,0.338149866,2.08734474,0.013371418,0.061753362,174.01759
N-SF8,1.55075812,0.209816918,1.46205491,0.011433834,0.058272565,133.24165
N-SK11,1.17963631,0.229817295,0.935789652,0.006802821,0.021973721,101.513232
N-SK14,0.936155374,0.594052018,1.04374583,0.004617165,0.016885927,103.736265
N-SK16,1.34317774,0.241144399,0.994317969,0.007046873,0.0229005,92.7508526
N-SK2,1.28189012,0.257738258,0.96818604,0.007271916,0.024282353,110.377773
N-SK2HT,1.28189012,0.257738258,0.96818604,0.007271916,0.024282353,110.377773
N-SK4,1.32993741,0.228542996,0.988465211,0.007168741,0.024645589,100.886364
N-SK5,0.991463823,0.495982121,0.987393925,0.005227305,0.017273365,98.3594579
